ssid,bssid,rssi,channel,time,band,observed_room,file_name,target_room,point_type,point_id
wi_dje_407,06:29:D5:47:E8:00,-68,11,오후 5:19:24,2.4GHz,407,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_407,06:29:D5:47:E8:00,-68,11,오후 5:19:26,2.4GHz,407,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_407,06:29:D5:47:E8:00,-66,11,오후 5:19:29,2.4GHz,407,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_407,06:29:D5:47:E8:00,-66,11,오후 5:19:32,2.4GHz,407,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_406,0A:29:D5:47:E7:B0,-60,52,오후 5:19:21,5GHz,406,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_406,0A:29:D5:47:E7:B0,-57,52,오후 5:19:24,5GHz,406,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_406,0A:29:D5:47:E7:B0,-55,52,오후 5:19:26,5GHz,406,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_406,0A:29:D5:47:E7:B0,-56,52,오후 5:19:29,5GHz,406,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_406,0A:29:D5:47:E7:B0,-59,52,오후 5:19:32,5GHz,406,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_409,0A:29:D5:47:E8:10,-84,116,오후 5:19:24,5GHz,409,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_409,0A:29:D5:47:E8:10,-87,116,오후 5:19:26,5GHz,409,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_409,0A:29:D5:47:E8:10,-92,116,오후 5:19:29,5GHz,409,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_409,0A:29:D5:47:E8:10,-91,116,오후 5:19:32,5GHz,409,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_405,0A:29:D5:47:DF:20,-87,149,오후 5:19:21,5GHz,405,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_405,0A:29:D5:47:DF:20,-91,149,오후 5:19:24,5GHz,405,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_405,0A:29:D5:47:DF:20,-91,149,오후 5:19:26,5GHz,405,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_405,0A:29:D5:47:DF:20,-91,149,오후 5:19:29,5GHz,405,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_405,0A:29:D5:47:DF:20,-91,149,오후 5:19:32,5GHz,405,인수_data/406_복도.txt,406,복도,406_복도
wi_dje_401,06:29:D5:47:E3:30,-68,1,오후 5:02:44,2.4GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,06:29:D5:47:E3:30,-66,1,오후 5:02:46,2.4GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,06:29:D5:47:E3:30,-61,1,오후 5:02:49,2.4GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,06:29:D5:47:E3:30,-61,1,오후 5:02:51,2.4GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,06:29:D5:47:E3:30,-61,1,오후 5:02:54,2.4GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_404,06:29:D5:47:EF:E0,-90,1,오후 5:02:44,2.4GHz,404,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_403,0A:29:D5:47:E3:10,-88,116,오후 5:02:44,5GHz,403,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_403,0A:29:D5:47:E3:10,-88,116,오후 5:02:46,5GHz,403,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_403,0A:29:D5:47:E3:10,-88,116,오후 5:02:49,5GHz,403,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_403,0A:29:D5:47:E3:10,-88,116,오후 5:02:51,5GHz,403,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_403,0A:29:D5:47:E3:10,-88,116,오후 5:02:54,5GHz,403,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_403,06:29:D5:47:E3:10,-76,1,오후 5:02:44,2.4GHz,403,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,0A:29:D5:47:E3:20,-50,52,오후 5:02:44,5GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,0A:29:D5:47:E3:20,-47,52,오후 5:02:46,5GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,0A:29:D5:47:E3:20,-45,52,오후 5:02:49,5GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,0A:29:D5:47:E3:20,-45,52,오후 5:02:51,5GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,0A:29:D5:47:E3:20,-48,52,오후 5:02:54,5GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_405,0A:29:D5:47:DF:20,-91,149,오후 5:02:44,5GHz,405,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,06:29:D5:47:E3:20,-45,1,오후 5:02:44,2.4GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,06:29:D5:47:E3:20,-53,1,오후 5:02:46,2.4GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,06:29:D5:47:E3:20,-53,1,오후 5:02:49,2.4GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,06:29:D5:47:E3:20,-44,1,오후 5:02:51,2.4GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_402,06:29:D5:47:E3:20,-45,1,오후 5:02:54,2.4GHz,402,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,0A:29:D5:47:E3:30,-75,149,오후 5:02:44,5GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,0A:29:D5:47:E3:30,-71,149,오후 5:02:46,5GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,0A:29:D5:47:E3:30,-75,149,오후 5:02:49,5GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,0A:29:D5:47:E3:30,-77,149,오후 5:02:51,5GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_401,0A:29:D5:47:E3:30,-78,149,오후 5:02:54,5GHz,401,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_405,06:29:D5:47:DF:20,-95,1,오후 5:02:44,2.4GHz,405,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_405,06:29:D5:47:DF:20,-95,1,오후 5:02:46,2.4GHz,405,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_405,06:29:D5:47:DF:20,-95,1,오후 5:02:49,2.4GHz,405,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_405,06:29:D5:47:DF:20,-95,1,오후 5:02:51,2.4GHz,405,인수_data/402_문앞.txt,402,문앞,402_문앞
wi_dje_405,06:29:D5:47:DF:20,-95,1,오후 5:02:54,2.4GHz,405,인수_data/402_문앞.txt,402,문앞,402_문앞
